industry,model_name,intent_type,category,category_label,citation_count,citation_share_pct
美妝業,gemini,知識型,ecommerce_site,電商 / 平台,134,19.73
美妝業,gemini,知識型,other_category,其他來源,1,0.15
美妝業,gemini,知識型,unknown,未知來源,0,0.0
食品業,chatgpt,推薦型,brand_site,品牌 / 官方型來源,37,12.94
食品業,chatgpt,推薦型,influencer_blogger,評測 / 部落格 / KOL,100,34.97
食品業,chatgpt,推薦型,news_media,新聞媒體,106,37.06
食品業,chatgpt,推薦型,social_media,社群媒體,2,0.7
食品業,chatgpt,推薦型,ecommerce_site,電商 / 平台,30,10.49
食品業,chatgpt,推薦型,other_category,其他來源,11,3.85
食品業,chatgpt,推薦型,unknown,未知來源,0,0.0
食品業,chatgpt,比較型,brand_site,品牌 / 官方型來源,31,14.03
食品業,chatgpt,比較型,influencer_blogger,評測 / 部落格 / KOL,47,21.27
食品業,chatgpt,比較型,news_media,新聞媒體,75,33.94
食品業,chatgpt,比較型,social_media,社群媒體,2,0.9
食品業,chatgpt,比較型,ecommerce_site,電商 / 平台,57,25.79
食品業,chatgpt,比較型,other_category,其他來源,9,4.07
食品業,chatgpt,比較型,unknown,未知來源,0,0.0
食品業,chatgpt,知識型,brand_site,品牌 / 官方型來源,50,40.98
食品業,chatgpt,知識型,influencer_blogger,評測 / 部落格 / KOL,30,24.59
食品業,chatgpt,知識型,news_media,新聞媒體,15,12.3
食品業,chatgpt,知識型,social_media,社群媒體,2,1.64
食品業,chatgpt,知識型,ecommerce_site,電商 / 平台,20,16.39
食品業,chatgpt,知識型,other_category,其他來源,5,4.1
食品業,chatgpt,知識型,unknown,未知來源,0,0.0
食品業,gemini,推薦型,brand_site,品牌 / 官方型來源,82,10.43
食品業,gemini,推薦型,influencer_blogger,評測 / 部落格 / KOL,252,32.06
食品業,gemini,推薦型,news_media,新聞媒體,269,34.22
食品業,gemini,推薦型,social_media,社群媒體,104,13.23
食品業,gemini,推薦型,ecommerce_site,電商 / 平台,75,9.54
食品業,gemini,推薦型,other_category,其他來源,4,0.51
食品業,gemini,推薦型,unknown,未知來源,0,0.0
食品業,gemini,比較型,brand_site,品牌 / 官方型來源,81,11.3
食品業,gemini,比較型,influencer_blogger,評測 / 部落格 / KOL,147,20.5
食品業,gemini,比較型,news_media,新聞媒體,265,36.96
食品業,gemini,比較型,social_media,社群媒體,82,11.44
食品業,gemini,比較型,ecommerce_site,電商 / 平台,130,18.13
食品業,gemini,比較型,other_category,其他來源,12,1.67
食品業,gemini,比較型,unknown,未知來源,0,0.0
食品業,gemini,知識型,brand_site,品牌 / 官方型來源,129,31.7
食品業,gemini,知識型,influencer_blogger,評測 / 部落格 / KOL,60,14.74
食品業,gemini,知識型,news_media,新聞媒體,132,32.43
食品業,gemini,知識型,social_media,社群媒體,17,4.18
食品業,gemini,知識型,ecommerce_site,電商 / 平台,63,15.48
食品業,gemini,知識型,other_category,其他來源,6,1.47
食品業,gemini,知識型,unknown,未知來源,0,0.0
電腦類,chatgpt,推薦型,brand_site,品牌 / 官方型來源,17,7.33
電腦類,chatgpt,推薦型,influencer_blogger,評測 / 部落格 / KOL,103,44.4
電腦類,chatgpt,推薦型,news_media,新聞媒體,77,33.19
電腦類,chatgpt,推薦型,social_media,社群媒體,19,8.19
電腦類,chatgpt,推薦型,ecommerce_site,電商 / 平台,11,4.74
電腦類,chatgpt,推薦型,other_category,其他來源,5,2.16
電腦類,chatgpt,推薦型,unknown,未知來源,0,0.0
電腦類,chatgpt,比較型,brand_site,品牌 / 官方型來源,56,23.73
電腦類,chatgpt,比較型,influencer_blogger,評測 / 部落格 / KOL,110,46.61
電腦類,chatgpt,比較型,news_media,新聞媒體,46,19.49
電腦類,chatgpt,比較型,social_media,社群媒體,0,0.0
電腦類,chatgpt,比較型,ecommerce_site,電商 / 平台,18,7.63
電腦類,chatgpt,比較型,other_category,其他來源,6,2.54
電腦類,chatgpt,比較型,unknown,未知來源,0,0.0
電腦類,chatgpt,知識型,brand_site,品牌 / 官方型來源,59,42.75
電腦類,chatgpt,知識型,influencer_blogger,評測 / 部落格 / KOL,56,40.58
電腦類,chatgpt,知識型,news_media,新聞媒體,6,4.35
電腦類,chatgpt,知識型,social_media,社群媒體,1,0.72
電腦類,chatgpt,知識型,ecommerce_site,電商 / 平台,11,7.97
電腦類,chatgpt,知識型,other_category,其他來源,5,3.62
電腦類,chatgpt,知識型,unknown,未知來源,0,0.0
電腦類,gemini,推薦型,brand_site,品牌 / 官方型來源,119,23.56
電腦類,gemini,推薦型,influencer_blogger,評測 / 部落格 / KOL,55,10.89
電腦類,gemini,推薦型,news_media,新聞媒體,111,21.98
電腦類,gemini,推薦型,social_media,社群媒體,125,24.75
電腦類,gemini,推薦型,ecommerce_site,電商 / 平台,92,18.22
電腦類,gemini,推薦型,other_category,其他來源,3,0.59
電腦類,gemini,推薦型,unknown,未知來源,0,0.0
電腦類,gemini,比較型,brand_site,品牌 / 官方型來源,104,22.08
電腦類,gemini,比較型,influencer_blogger,評測 / 部落格 / KOL,45,9.55
電腦類,gemini,比較型,news_media,新聞媒體,64,13.59
電腦類,gemini,比較型,social_media,社群媒體,162,34.39
電腦類,gemini,比較型,ecommerce_site,電商 / 平台,90,19.11
電腦類,gemini,比較型,other_category,其他來源,6,1.27
電腦類,gemini,比較型,unknown,未知來源,0,0.0
電腦類,gemini,知識型,brand_site,品牌 / 官方型來源,189,34.24
